"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WAS02WA035","ACC","54570","2002-04-17T04:00:00Z","Pico, Duarte",,"Dominican Republic",,"HI-375",,"false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"Cessna","172","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","IMC","CARIBAIR",,"N/A",,"Prelim","","None"
"DCA02WA031","ACC","54515","2002-04-12T03:10:00Z","PalmaDeMallorca",,"Spain",,"EC-GKR",,"false","Aviation","",,,"Fatal","2","0","0","2","0",,,,,,"Swearingen","METRO SW3","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","IMC","TADAIR",,"N/A",,"Prelim","","None"
"FTW02WA145","ACC","54653","2002-04-05T12:30:00Z","SANTA ANA",,"Bolivia",,"CP-1776",,"false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"Cessna","U206G","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed",,"ANGEL VASQUEZ & GUSTAVO MELGAR",,"N/A",,"Prelim","","None"
"WAS02WA026","ACC","54301","2002-02-23T18:28:00Z","San Antonio",,"Peru",,"OB-1230",,"false","Aviation","",,,"Fatal","2","1","2","5","0",,,,"4.8166659999999997","-76.699995999999999","Cessna","U206G","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","VMC","Aero Latino Expreso S.A.",,"N/A",,"Prelim","","None"
"DCA02WA019","ACC","54094","2002-01-28T05:00:00Z","Ipiales",,"Colombia",,"HC-BLF",,"false","Aviation","",,,"Fatal","92","0","0","92","0",,,,,,"Boeing","727-134","AIR",,,"false","3",,"SCHD",,"NUSC","Destroyed",,"TAME AIRLINES",,"N/A",,"Prelim","","None"
"FTW04WA068","ACC","58696","2002-01-22T22:55:00Z","Trinidad",,"Bolivia",,"CP-1541",,"false","Aviation","",,,"Fatal","2","3","1","6","0",,,,,,"Cessna","182L","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","VMC","UNK",,"N/A",,"Prelim","","None"
"DCA02WA008","ACC","53819","2001-11-24T22:00:00Z","Zurich",,"Switzerland",,,,"false","Aviation","",,,"Fatal","24","0","0","24","0",,,,,,"British Aerospace","Avro RJ100","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed","IMC",,,"N/A",,"Prelim","","None"
"DCA02WA004","ACC","69183","2001-10-10T04:00:00Z","Mediterranean",,"Spain",,,,"false","Aviation","",,,"Fatal","10","0","0","10","0",,,,,,"Swearingen","Metroliner","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed",,"Flight Line, Inc.",,"N/A",,"Prelim","","None"
"WAS01WA028","ACC","53503","2001-09-08T07:30:00Z","Baborigame",,"Mexico",,"XA-PID",,"false","Aviation","",,,"Fatal","8","0","0","8","0",,,,,,"Cessna","TU206G","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","IMC","TAXIS AEREOS DE PARRAL",,"N/A",,"Prelim","","None"
"DCA01WA059","ACC","53129","2001-08-29T10:00:00Z","Malaga",,"Spain",,,,"false","Aviation","",,,"Fatal","4","43","0","47","0",,,,,,"CASA","235","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed",,,,"N/A",,"Prelim","","None"
"WAS01RA005","ACC","52255","2001-05-04T09:10:00Z","COBAN",,"Guatemala",,"TG-CEG",,"false","Aviation","",,,"Fatal","5","0","0","5","0",,,,"15.585000000000001","-99.446387999999999","Cessna","182J","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","IMC","Antonio Arevalo Posadas",,"N/A",,"Prelim","","None"
"MIA01WA069","ACC","51416","2001-01-31T17:15:00Z","YOPAL",,"Colombia",,"HK-3932X",,"false","Aviation","",,,"Fatal","3","3","0","6","0",,,,,,,,"AIR",,,"false","2",,"NSCH",,"NUSC","Destroyed","VMC","Lineas Aereas Suramericanas",,"N/A",,"Prelim","","None"
"DCA01WA016","ACC","51402","2001-01-25T19:00:00Z","CUIDAD BOLIVAR",,"Venezuela",,"YV224","","false","Aviation","",,,"Fatal","24","0","0","24","0",,,,,,"Douglas","DC-3","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","RUTACA",,"N/A",,"Prelim","","None"
"IAD00WA083","ACC","51183","2000-09-06T04:00:00Z","AUBENAS",,"France",,"N116TG","","false","Aviation","",,,"Fatal","2","2","0","4","0",,,,,,"Lockheed","C-130A","AIR","","","false",,,"UNK","AAPL","NUSC","Destroyed","VMC","INTERNATIONAL AIR RESPONSE",,"N/A",,"Prelim","","None"
"DCA00WA092","ACC","50764","2000-09-04T04:00:00Z","QUEENSLAND",,"Australia",,"VHSKC","","false","Aviation","",,,"Fatal","8","0","0","8","0",,,,,,"Beech","KINGAIR 200","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","",,"N/A",,"Prelim","","None"
"MIA00WA249","ACC","50092","2000-08-26T00:00:00Z","LA FORTUNA",,"Costa Rica",,"1357","","false","Aviation","",,,"Fatal","10","0","0","10","0",,,,,,"Cessna","208B","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","SANSA AIRCRAFT",,"N/A",,"Prelim","","None"
"NYC00WA222","ACC","49937","2000-08-07T04:00:00Z","REYKJAVIK",,"Iceland",,"TFGTI","","false","Aviation","",,,"Fatal","3","3","0","6","0",,,,,,"Cessna","210L","AIR","","","false",,,"UNK","BUS","NUSC","Destroyed","VMC","L.I.O. EHF/AIR CHARTER ICELAND",,"N/A",,"Prelim","","None"
"NYC00MA201","ACC","54159","2000-07-19T00:31:00Z","LINNEUS","Maine","United States",,"CGNAK","154","false","Aviation","DirectorBrief","2001-09-27T04:00:00Z",,"Fatal","2","0","0","2","0","The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control.  Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.",,,,,"Grumman","G-159","AIR","","","false","2","TP","UNK","UNK","NUSC","Destroyed","IMC","",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/54159/pdf"
"DCA00WA076","ACC","49861","2000-07-17T01:04:00Z","PATNA",,"India",,"VT-EGD","22280","false","Aviation","",,,"Fatal","60","10","1","61","10",,,,,,"Boeing","737-200","AIR",,"Patna India","false","2",,"SCHD",,"NUSC","Destroyed","IMC","Airlines Allied Sevices Ltd",,"N/A",,"Prelim","","None"
"MIA00WA211","ACC","49662","2000-07-07T07:50:00Z","RIO LUJAN",,"Argentina",,"LVJLB","","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,,,"Cessna","310N","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","COLUMBUS AIRWAYS, S.A.",,"N/A",,"Prelim","","None"
"CHI00WA163","ACC","49424","2000-06-14T04:00:00Z","LIVERPOOL",,"United Kingdom",,"GBMBC","","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,,,"Piper","PA-31-350","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","ISLAND AVIATION",,"N/A",,"Prelim","","None"
"NYC00WA154","ACC","51290","2000-06-01T04:00:00Z","NEWMARKET",,"United Kingdom",,"GBMNT","","false","Aviation","",,,"Fatal","1","2","0","3","0",,,,,,"Piper","PA-34-220T","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","CHANNEL AIRWAYS LTD",,"N/A",,"Prelim","","None"
"DCA00WA046","ACC","49088","2000-04-30T04:00:00Z","ENTEBBE",,"Uganda",,"N800WR","","false","Aviation","",,,"Fatal","12","0","0","12","0",,,,,,"Douglas","DC-10-30","AIR",,,"false",,,,,"NUSC","Substantial","Unknown","DAS AIR CARGO",,"N/A",,"Prelim","","None"
"SEA00WA056","ACC","51337","2000-03-17T13:30:00Z","ENNADAI LAKE",,"Canada",,"CFNTF","","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,,,"Douglas","DC-3C","AIR",,,"false",,,"UNK","UNK","NUSC","Destroyed","VMC","POINTS NORTH AIR SERVICES",,"N/A",,"Prelim","","None"
"MIA00WA122","ACC","48875","2000-03-17T10:30:00Z","CARRETO",,"Panama",,"HP-12","","false","Aviation","",,,"Fatal","10","0","0","10","0",,,,,,"de Havilland","DHC-6","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","IMC","AEROPERLAS",,"N/A",,"Prelim","","None"
"MIA00WA073","ACC","48541","2000-01-22T12:45:00Z","LAS TERRENAS",,"Dominican Republic",,"HI528","","false","Aviation","",,,"Fatal","7","0","0","7","0",,,,,,"Cessna","207","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","AERODOMCA",,"N/A",,"Prelim","","None"
"MIA00WA024","ACC","47753","1999-11-09T05:00:00Z","ABIDJAN",,"Mali",,"TUTMP","","false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"Beech","58","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","AIR ENTER IVORIE",,"N/A",,"Prelim","","None"
"MIA99WA244","ACC","47314","1999-08-28T16:30:00Z","LA CEIBA",,"Honduras",,"HRAJM","","false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"Cessna","206","AIR","","","false",,,"UNK","BUS","NUSC","Destroyed","VMC","SOSA AIRLINES",,"N/A",,"Prelim","","None"
"DCA99WA068","ACC","47255","1999-07-07T19:51:00Z","KATHMANDU",,"Nepal",,"VT-LCI","22168","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,,,"Boeing","727-243F","AIR",,,"false","3",,"NSCH",,"NUSC","Destroyed",,"LUFTHANSA CARGO AIRLINES/HINDUJA",,"N/A",,"Prelim","","None"
"MIA99WA187","ACC","46752","1999-06-18T09:12:00Z","CIUDAD BOLIVAR",,"Venezuela",,"YV239","","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,,,"Cessna","U206F","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","IMC","SERAMI AEROTAXI",,"N/A",,"Prelim","","None"
"DCA99RA053","ACC","46171","1999-04-07T21:44:00Z","CEYHAN ADANA",,"Turkey",,"TC-JEP","25378","false","Aviation","",,,"Fatal","6","0","0","6","0",,,,,,"Boeing","737-400","AIR",,,"false","2",,"NSCH",,"NUSC","Destroyed","IMC",,,"N/A",,"Prelim","","None"
"LAX98WA316","ACC","45268","1998-09-17T04:00:00Z","ARUSHA",,"Tanzania",,"N36MS","","false","Aviation","",,,"Fatal","3","1","0","4","0",,,,,,"Cessna","206","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","FLYING MEDICAL SERVICES",,"N/A",,"Prelim","","None"
"MIA98WA156","ACC","38569","1998-05-08T17:00:00Z","WALKER'S CAY",,"Bahamas",,"N5813Y","","false","Aviation","",,,"Fatal","1","0","5","6","0",,,,,,"Piper","PA-23-250","AIR","","","false",,,"UNK","UNK","NUSC","Substantial","VMC","MAJORS AIR SERVICES",,"N/A",,"Prelim","","None"
"DCA98WA053","ACC","11067","1998-04-26T04:00:00Z","EUCEMBUNE",,"Australia",,"VHIOR","","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"Cessna","210","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","",,"N/A",,"Prelim","","None"
"MIA98WA097","ACC","38563","1998-03-02T16:05:00Z","LA PUNTILLA",,"Chile",,"CCCIX","","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,,,"Cessna","401","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","AERO CHAITEN",,"N/A",,"Prelim","","None"
"MIA98WA049","ACC","38557","1997-12-31T08:45:00Z","RIO SIDRA",,"Panama",,"HP986","","false","Aviation","",,,"Fatal","10","0","0","10","0",,,,,,"Britten-Norman","ISLANDER","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","IMC","Unknown",,"N/A",,"Prelim","","None"
"MIA97WA092","ACC","38361","1997-03-02T22:14:00Z","CARACAS",,"Venezuela",,"YV784","","false","Aviation","",,,"Fatal","6","0","0","6","0",,,,,,"Cessna","402A","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","CHAPI AIR TRAVEL",,"N/A",,"Prelim","","None"
"MIA97WA100","ACC","38362","1997-02-11T11:44:00Z","CHALLAO",,"Argentina",,"N470E","","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"Cessna","T210","AIR",,,"false",,,,,"NUSC","Destroyed","Unknown","TRANSPORTES AEREOS EMPRESARIAL",,"N/A",,"Prelim","","None"
"MIA96WA098","ACC","38111","1996-03-13T09:15:00Z","PUNTO FIJO",,"Venezuela",,"P4AVB","","false","Aviation","",,,"Fatal","8","0","0","8","0",,,,,,"CESSNA","402B","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","VMC","AVIA AIR",,"N/A",,"Prelim","","None"
"MIA96WA037","ACC","38102","1995-12-07T19:00:00Z","PORT-AU-PRINCE",,"Haiti",,"FOHRK","","false","Aviation","",,,"Fatal","20","0","0","20","0",,,,,,"BEECH","1900D","AIR","","","false",,,"UNK","OWRK","NUSC","Destroyed","VMC","AIR SAINT MARTIN",,"N/A",,"Prelim","","None"
"DCA94WA077","ACC","10991","1994-09-23T04:00:00Z","WESTMAN ISLES",,"Iceland",,"N9082N","","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,,,"AERO COMMANDER","500S","AIR","","","false",,,"UNK","UNK","NUSC","Destroyed","Unknown","EAGLE AIR INTERNATIONAL",,"N/A",,"Prelim","","None"
"LAX87FA350","ACC","25429","1987-09-30T07:59:00Z","SAN DIEGO","California","United States",,"XAKOA","340A0978","false","Aviation","DirectorBrief","1989-08-08T04:00:00Z",,"Fatal","6","0","0","6","0","",,,,,"CESSNA","340A","AIR","MMTJ","GEN RODRIGUEZ INTL","false","2","REC","UNK","UNK","NUSC","Destroyed","IMC","",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/25429/pdf"

